# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  6.0193390271e-03  6.3366857072e-03  6.2420333429e-03  6.8081561483e-03
SC_42  6.0280236148e-03  6.3457164652e-03  6.2510550144e-03  6.8178984591e-03
