# type  value  stat. err
v4_L  1.4608451537e-03  9.3870231268e-04
v4(Psi2)  2.9485353426e-03  3.2061718430e-04
rho_422  8.9605286654e-01  1.2747999336e-01
chi_422  8.2838152989e-01  5.5010682505e-02
v5_L  1.3402061552e-03  2.8517942748e-04
v5(Psi23)  6.6616309232e-05  2.1322290173e-04
rho_523  4.9644725993e-02  1.5924946422e-01
chi_523  1.0806866133e-01  3.4584949940e-01
v6_L  6.3921230933e-06  7.2157659553e-07
v6(Psi2)  -3.3412540390e-05  2.7666184054e-04
v6(Psi3)  -4.9049489244e-04  1.7047115121e-04
rho_6222  -2.6537900010e-02  2.1981670095e-01
rho_633  -3.8957541867e-01  1.6041200894e-01
chi_6222  -1.2253356091e-01  1.0143973786e+00
chi_633  -2.7498233816e+00  9.1413198461e-01
