# type  value  stat. err
v4_L  1.9729037239e-02  1.2257614335e-03
v4(Psi2)  1.0067311793e-02  1.3684600463e-03
rho_422  4.5452323282e-01  6.4469545450e-02
chi_422  6.5665598467e-01  7.9594811773e-02
v5_L  9.2069510357e-03  9.5072539487e-04
v5(Psi23)  6.6352215756e-03  8.1568635448e-04
rho_523  5.8466544173e-01  7.8366101584e-02
chi_523  1.3817084830e+00  1.3648937655e-01
v6_L  3.8136254708e-05  4.2231960885e-06
v6(Psi2)  8.2590563518e-04  4.9130736199e-04
v6(Psi3)  2.2160169380e-03  4.1225355031e-04
rho_6222  1.3142651552e-01  7.8551249059e-02
rho_633  3.5263518261e-01  6.8705569842e-02
chi_6222  3.3244773749e-01  1.9526274445e-01
chi_633  7.8475596650e-01  1.1540071528e-01
