# type  value  stat. err
v4_L  1.3124876173e-02  8.3929596126e-04
v4(Psi2)  7.0666506722e-03  8.8536779943e-04
rho_422  4.7406912097e-01  6.2465705157e-02
chi_422  7.5232942778e-01  8.2711056361e-02
v5_L  5.9902353892e-03  6.0993914486e-04
v5(Psi23)  4.2880769077e-03  5.1916894895e-04
rho_523  5.8207716232e-01  7.7019851022e-02
chi_523  1.6164634001e+00  1.6004353922e-01
v6_L  1.7038249752e-05  1.8802847876e-06
v6(Psi2)  5.8693969472e-04  3.0520104366e-04
v6(Psi3)  1.4035272086e-03  2.6498645725e-04
rho_6222  1.4709153361e-01  7.7022293013e-02
rho_633  3.5173455030e-01  6.9864064324e-02
chi_6222  4.9296930112e-01  2.5219707182e-01
chi_633  9.8862067364e-01  1.5090800258e-01
