# type  value  stat. err
v4_L  6.4406774559e-03  4.5409641616e-04
v4(Psi2)  -1.2767641063e-04  6.5291041550e-04
rho_422  -1.9819550423e-02  1.0136264561e-01
chi_422  -2.3868695587e-02  1.2203503777e-01
v5_L  3.6845298190e-03  6.1644504225e-04
v5(Psi23)  -2.3915329530e-03  5.7180394356e-04
rho_523  -5.4444227663e-01  1.3986996246e-01
chi_523  -6.3097675829e+00  1.3131998632e+00
v6_L  1.4685031950e-05  1.8937940609e-06
v6(Psi2)  -1.0322978372e-03  4.4368078740e-04
v6(Psi3)  -3.6497102114e-04  4.2492786644e-04
rho_6222  -4.5248563626e-01  2.0897647214e-01
rho_633  -1.5997722631e-01  1.8821060562e-01
chi_6222  -1.9738608362e+00  7.6893782090e-01
chi_633  -9.6145106360e+00  1.1120301118e+01
