# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  4.8330676095e-03  3.8181234115e-01  1.0752143476e-02  8.4941933459e-01
2  7.8336617477e-01  5.5710982623e-02  4.8925638945e-01  6.9151916156e-02
3  9.3018210672e-03  7.3484386431e-01  6.6989510175e-03  5.2921713038e-01
