# type  value  stat. err
v4_L  3.1048696548e-03  2.8088098460e-04
v4(Psi2)  3.8910873447e-04  3.2606156047e-04
rho_422  1.2434939543e-01  1.0477564076e-01
chi_422  1.4238682857e-01  1.1873454713e-01
v5_L  1.4715015048e-03  3.7080809316e-04
v5(Psi23)  -1.1236475649e-03  2.5364632713e-04
rho_523  -6.0689842363e-01  1.5985842237e-01
chi_523  -5.4224820684e+00  1.0422840498e+00
v6_L  4.5703161613e-06  8.0871893755e-07
v6(Psi2)  -4.9713837724e-04  2.2391269843e-04
v6(Psi3)  -5.7540151260e-04  2.9886714435e-04
rho_6222  -8.4265166240e-01  7.9721254743e-01
rho_633  -9.7530800948e-01  9.5658760397e-01
chi_6222  -2.7358549551e+00  1.1823386567e+00
chi_633  -2.2011404550e+01  1.0717110705e+01
