# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  3.6820554003e-03  2.4770290797e-03  3.7645291996e-03  2.5862736015e-03
SC_42  3.6862398514e-03  2.4796065892e-03  3.7688076181e-03  2.5889698408e-03
