# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  2.9507820156e-09  3.1127508864e-09
2  3.6680805686e-02  3.2983574549e-03  -1.8103204823e-06  6.5113990240e-07
3  0.0000000000e+00  0.0000000000e+00  2.8268832672e-11  1.3139188419e-10
