# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  5.3067580025e-03  3.1797070032e-03  5.4792635567e-03  3.3862671470e-03
SC_42  5.3301914531e-03  3.1936583691e-03  5.5035043515e-03  3.4011815184e-03
