# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  2.7763917708e-08  2.5394635223e-08
2  3.7699421525e-02  6.1592275804e-03  -2.0199412820e-06  1.3200497569e-06
3  1.3135361995e-02  2.1216795148e-03  -2.9769269913e-08  1.9233836164e-08
