# type  value  stat. err
v4_L  1.0402071857e-02  5.0061204947e-04
v4(Psi2)  3.4716078235e-03  6.1946595939e-04
rho_422  3.1657659126e-01  5.7852477569e-02
chi_422  7.9735786452e-01  1.2646045508e-01
v5_L  4.7003128960e-03  3.3978038865e-04
v5(Psi23)  2.4665801708e-03  3.1031457365e-04
rho_523  4.6467378852e-01  6.2863820766e-02
chi_523  2.0041637610e+00  2.2456950708e-01
v6_L  1.2613902513e-05  1.2643616460e-06
v6(Psi2)  2.1586632818e-04  1.7254639058e-04
v6(Psi3)  8.2145723940e-04  2.2109700080e-04
rho_6222  6.9790904558e-02  5.5985324186e-02
rho_633  2.6558215112e-01  7.3711753449e-02
chi_6222  5.2338960472e-01  4.0969440485e-01
chi_633  1.2881054454e+00  3.3607370443e-01
