#correlator  value  value_err
4(24)  7.19459e-01  8.51603e-02
6(23)  -3.16204e-02  2.79622e-01
6(26)  5.46021e-01  1.74725e-01
6(36)  4.13967e-01  1.06164e-01
(235)  6.50790e-01  5.91716e-02
(246)  6.46262e-01  8.70622e-02
(234)  -1.22205e-01  1.27101e-01
