# type  value  stat. err
v4_L  2.6467736253e-02  3.3936244914e-03
v4(Psi2)  1.6268052114e-02  2.8484744566e-03
rho_422  5.2363542191e-01  1.0074238638e-01
chi_422  6.9132354224e-01  9.9517325578e-02
v5_L  1.2087571079e-02  1.7234908824e-03
v5(Psi23)  1.0094988146e-02  1.4535536628e-03
rho_523  6.4100891920e-01  9.9898013099e-02
chi_523  1.2062964855e+00  1.2967761409e-01
v6_L  5.5911096311e-05  8.0297197493e-06
v6(Psi2)  3.0201535309e-03  8.5501884493e-04
v6(Psi3)  2.0534808031e-03  7.4894470426e-04
rho_6222  3.4325705031e-01  1.0012214947e-01
rho_633  2.3338938108e-01  8.6684937982e-02
chi_6222  6.3034865953e-01  1.5176277772e-01
chi_633  3.9841641912e-01  1.3840785410e-01
