# type  value  stat. err
v4_L  2.8933928116e-02  2.7517275263e-03
v4(Psi2)  1.7980771415e-02  2.4798949741e-03
rho_422  5.2782435648e-01  7.8736778686e-02
chi_422  5.9589080765e-01  6.2057016536e-02
v5_L  1.2384814178e-02  2.4025743128e-03
v5(Psi23)  1.3914962094e-02  1.5691975511e-03
rho_523  7.4698376413e-01  9.4812432510e-02
chi_523  1.3418912026e+00  8.5877660400e-02
v6_L  8.5361649251e-05  1.1011925987e-05
v6(Psi2)  2.4835067934e-03  9.3350615213e-04
v6(Psi3)  3.3017032054e-03  1.3303808237e-03
rho_6222  2.4298758940e-01  9.2525021983e-02
rho_633  3.2304034961e-01  1.3164257137e-01
chi_6222  3.2754419787e-01  1.1274623466e-01
chi_633  5.0577119651e-01  1.7097110235e-01
