# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  7.6190878726e-03  3.4388585706e-03  7.9726316062e-03  3.7439794459e-03
SC_42  7.6662440431e-03  3.4584529859e-03  8.0221836502e-03  3.7655738314e-03
