# type  value  stat. err
v4_L  1.9503993584e-02  1.8260003093e-03
v4(Psi2)  1.2253136215e-02  1.5807852080e-03
rho_422  5.3196872733e-01  7.4886746191e-02
chi_422  6.7005742343e-01  6.4669709124e-02
v5_L  8.1888582399e-03  1.5318244830e-03
v5(Psi23)  9.1541342049e-03  9.9549864344e-04
rho_523  7.4530939667e-01  9.1558708727e-02
chi_523  1.5960501525e+00  9.8766630599e-02
v6_L  3.7873681946e-05  4.9858032509e-06
v6(Psi2)  1.4736528310e-03  5.7191054129e-04
v6(Psi3)  2.1556832089e-03  8.7382086767e-04
rho_6222  2.2333418971e-01  8.7746767486e-02
rho_633  3.2669686686e-01  1.3393218222e-01
chi_6222  4.1188735606e-01  1.4827764659e-01
chi_633  6.4932728702e-01  2.1945121817e-01
