# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -5.1110911355e-03  5.7574941671e-03  -4.9525276662e-03  5.3983163148e-03
SC_42  -5.1195911867e-03  5.7672802863e-03  -4.9607568602e-03  5.4074822029e-03
