# type  value  stat. err
v4_L  1.5613678749e-03  8.1339307605e-04
v4(Psi2)  2.5572694221e-03  3.0997731706e-04
rho_422  8.5349083623e-01  1.4000582932e-01
chi_422  6.7346116360e-01  5.2930588419e-02
v5_L  7.9903510630e-04  3.5590893093e-04
v5(Psi23)  -3.5837952159e-04  2.5855776593e-04
rho_523  -4.0923785859e-01  3.2826442098e-01
chi_523  -6.1713645368e-01  4.4215914406e-01
v6_L  4.0416250678e-06  4.5913273429e-07
v6(Psi2)  -5.2998955594e-05  1.3028994386e-04
v6(Psi3)  1.1571856092e-06  1.4638374723e-04
rho_6222  -inf  inf
rho_633  inf  inf
chi_6222  -1.7476516108e-01  4.2863530866e-01
chi_633  7.7455665956e-03  9.7981232346e-01
