# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
2  6.4928180409e-01  1.9671167649e-01  6.3734973512e-01  1.9734259649e-01
3  7.4576386001e-01  1.2474638108e-01  5.3374944571e-01  1.4389079935e-01
