# type  value  stat. err
v4_L  2.8417465943e-03  1.1857415546e-03
v4(Psi2)  3.9057035142e-03  6.0997597690e-04
rho_422  8.0861444793e-01  1.5089556323e-01
chi_422  9.2441512107e-01  8.1713705499e-02
v5_L  1.1089761910e-03  1.0374754652e-03
v5(Psi23)  3.6917740788e-04  6.7206515330e-04
rho_523  3.1585711734e-01  6.3094803495e-01
chi_523  6.9228258310e-01  1.2562906289e+00
v6_L  1.7205382857e-05  3.1090911710e-06
v6(Psi2)  6.6196062233e-04  3.7618530742e-04
v6(Psi3)  1.7916023565e-04  2.9117606796e-04
rho_6222  4.5743721757e-01  4.1054402187e-01
rho_633  1.2380579287e-01  2.1882102977e-01
chi_6222  1.9167429883e+00  1.0301723569e+00
chi_633  1.4507505591e+00  2.3487497979e+00
