# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  1.5237513863e-10  1.3045602587e-10
2  3.9170552741e-02  1.7227320288e-03  -2.3541753063e-06  4.1414919298e-07
3  0.0000000000e+00  0.0000000000e+00  1.4674172793e-09  2.6284429801e-09
