# type  value  stat. err
v4_L  3.1494632454e-03  4.5433183308e-04
v4(Psi2)  2.4836134483e-03  3.1400830063e-04
rho_422  6.1921338718e-01  9.0892133143e-02
chi_422  7.5753265255e-01  8.1613585833e-02
v5_L  1.6532194080e-03  2.5883009129e-04
v5(Psi23)  6.9277354491e-04  2.1862815218e-04
rho_523  3.8648374124e-01  1.3112391514e-01
chi_523  9.4292677195e-01  2.8892601814e-01
v6_L  7.2116394894e-06  8.0042310230e-07
v6(Psi2)  -2.1319034028e-04  1.8048990430e-04
v6(Psi3)  -5.2418467447e-04  2.1116565379e-04
rho_6222  -1.8184012855e-01  1.6204817577e-01
rho_633  -4.4710191120e-01  2.1889337475e-01
chi_6222  -9.4253368116e-01  7.9171351936e-01
chi_633  -1.9356494714e+00  7.4127793784e-01
