# type  value  stat. err
v4_L  2.6448583634e-03  3.8872444258e-04
v4(Psi2)  2.0512456662e-03  2.7218193080e-04
rho_422  6.1284796223e-01  9.4038728950e-02
chi_422  8.1561154114e-01  9.3933970133e-02
v5_L  1.1532901447e-03  2.7948176565e-04
v5(Psi23)  4.9690704560e-04  1.8577290999e-04
rho_523  3.9569451307e-01  1.6699964133e-01
chi_523  9.0845111462e-01  3.3235990559e-01
v6_L  5.4552436160e-06  6.1458811727e-07
v6(Psi2)  -1.7504740081e-04  1.6636008327e-04
v6(Psi3)  -4.0223207863e-04  1.6566878490e-04
rho_6222  -2.2736359571e-01  2.4479333881e-01
rho_633  -5.2244667034e-01  3.4084625808e-01
chi_6222  -1.1523248260e+00  1.0884528485e+00
chi_633  -2.0407013945e+00  8.0220529773e-01
