# type  value  stat. err
v4_L  2.9760215619e-03  1.9321902106e-03
v4(Psi2)  -3.5748631583e-03  1.2110544007e-03
rho_422  -7.6854165924e-01  2.9301359151e-01
chi_422  -8.2701022671e+00  2.3218151424e+00
v5_L  nan  nan
v5(Psi23)  -1.9658191569e-05  1.2879380235e-03
rho_523  nan  nan
chi_523  -2.1546879790e-01  1.4116672217e+01
v6_L  4.0135223087e-05  1.0565103836e-05
v6(Psi2)  -1.2712441005e-04  1.1220191196e-03
v6(Psi3)  -8.0208317560e-04  1.3616701771e-03
rho_6222  -1.6563778519e-01  1.5777492789e+00
rho_633  -1.0450808047e+00  4.1425890751e+00
chi_6222  -9.3618285294e+00  8.2594618511e+01
chi_633  -1.6792549573e+01  2.8153459617e+01
