# type  value  stat. err
v4_L  2.3611696307e-03  2.0045609055e-03
v4(Psi2)  -3.0943890037e-03  1.2366146976e-03
rho_422  -7.9499309467e-01  3.4971705539e-01
chi_422  -8.7752929841e+00  3.1105244653e+00
v5_L  2.7421665896e-04  5.9826449725e-03
v5(Psi23)  5.3585475257e-05  1.1242881984e-03
rho_523  1.9178543626e-01  5.6932669788e+00
chi_523  7.8475716322e-01  1.6463643012e+01
v6_L  3.4353535659e-05  5.3138113792e-06
v6(Psi2)  -1.9638395617e-05  8.6392458221e-04
v6(Psi3)  -4.0511600202e-04  1.2031251370e-03
rho_6222  -1.8753867853e-02  8.2555746496e-01
rho_633  -3.8686927970e-01  1.3048498532e+00
chi_6222  -1.9943246183e+00  8.7732030718e+01
chi_633  -1.0321358415e+01  3.0527775283e+01
