# type  value  stat. err
v4_L  1.1309530352e-03  3.6421007342e-03
v4(Psi2)  -3.1983072138e-03  7.9732649661e-04
rho_422  -9.4279230262e-01  3.5421285204e-01
chi_422  -7.7239744021e+00  1.5912202500e+00
v5_L  nan  nan
v5(Psi23)  4.8310429813e-04  8.7987659512e-04
rho_523  nan  nan
chi_523  4.5998728014e+00  8.3360375912e+00
v6_L  3.6106485674e-05  8.0512432884e-06
v6(Psi2)  -3.7054828029e-04  6.5363078785e-04
v6(Psi3)  -1.2099758250e-03  8.9957995247e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -3.3176307511e+01  5.8159049662e+01
chi_633  -1.9107265749e+01  1.3661677468e+01
