# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  7.4131494944e-01  1.2621920862e-01  5.3899888416e-01  1.4484756866e-01
2  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
