# type  value  stat. err
v4_L  3.8195421463e-03  2.7037034915e-03
v4(Psi2)  -4.9578414146e-03  1.5950114401e-03
rho_422  -7.9217452028e-01  2.8808620310e-01
chi_422  -1.1886123336e+01  3.4523400953e+00
v5_L  2.4009559839e-03  2.1935452858e-03
v5(Psi23)  1.8913157695e-03  1.2378016392e-03
rho_523  6.1880227211e-01  5.1153868660e-01
chi_523  1.1069539255e+01  6.9574280676e+00
v6_L  7.0208798384e-05  1.8209232570e-05
v6(Psi2)  -9.1591562449e-04  1.1560582232e-03
v6(Psi3)  -2.6896218132e-03  1.0672497411e-03
rho_6222  -3.2971617685e-01  4.6334489533e-01
rho_633  -9.6822436230e-01  7.1094041264e-01
chi_6222  -8.8009342716e+01  1.0990659905e+02
chi_633  -1.6970287582e+01  5.8413657376e+00
