# type  value  stat. err
v4_L  3.7417522999e-04  7.6570732696e-03
v4(Psi2)  -2.4322019552e-03  6.6700972977e-04
rho_422  -9.8837228921e-01  4.7120449056e-01
chi_422  -7.1140888764e+00  1.7036872978e+00
v5_L  nan  nan
v5(Psi23)  3.3206771340e-04  6.4988097527e-04
rho_523  nan  nan
chi_523  3.5111598411e+00  6.8488686277e+00
v6_L  2.7030201049e-05  8.6699046042e-06
v6(Psi2)  -3.2507887047e-04  7.0238839682e-04
v6(Psi3)  -1.4190005177e-03  9.2805799053e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -3.9512548217e+01  8.5042415997e+01
chi_633  -3.1373744766e+01  1.9146794026e+01
