# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -1.1591504571e-02  1.6478888592e-02  -1.0768568258e-02  1.4164059490e-02
SC_42  -1.1624819403e-02  1.6530556355e-02  -1.0799403572e-02  1.4208507932e-02
