# type  value  stat. err
v4_L  9.8936651158e-03  3.3821290978e-03
v4(Psi2)  1.5541252816e-02  1.6885458615e-03
rho_422  8.4356861727e-01  1.0517981086e-01
chi_422  1.0483567328e+00  8.1891566742e-02
v5_L  5.3109799754e-03  1.4296751079e-03
v5(Psi23)  6.2485387843e-03  9.2722822817e-04
rho_523  7.6195604544e-01  1.2600028908e-01
chi_523  1.9813617722e+00  2.4765505441e-01
v6_L  1.2975947500e-05  1.3220828613e-05
v6(Psi2)  2.9564891827e-03  1.0867599615e-03
v6(Psi3)  1.6207285195e-03  4.4108379329e-04
rho_6222  5.6426305113e-01  2.1236284097e-01
rho_633  3.0932540690e-01  8.7812789974e-02
chi_6222  1.5479504514e+00  5.4729724484e-01
chi_633  9.9327021685e-01  2.4181024175e-01
