# type  value  stat. err
v4_L  5.3958049566e-03  1.6406085312e-03
v4(Psi2)  8.1616275840e-03  7.9113242005e-04
rho_422  8.3418011116e-01  9.6556366757e-02
chi_422  1.3579206228e+00  8.5802022197e-02
v5_L  2.9265387474e-03  6.5777379618e-04
v5(Psi23)  3.0277558276e-03  4.4776036058e-04
rho_523  7.1902301338e-01  1.1990685320e-01
chi_523  2.6512212830e+00  3.3294869162e-01
v6_L  7.8276781036e-06  1.7622782630e-06
v6(Psi2)  1.2800715554e-03  3.9247462551e-04
v6(Psi3)  8.3013618231e-04  2.5656676701e-04
rho_6222  4.6827862904e-01  1.4816274699e-01
rho_633  3.0368226818e-01  9.6809432306e-02
chi_6222  2.3706784040e+00  6.8941250126e-01
chi_633  1.6013243497e+00  4.5968239473e-01
