#correlator  value  value_err
4(24)  5.51628e-01  5.74283e-02
6(23)  4.72113e-03  1.25113e-01
6(26)  1.23178e-01  1.14710e-01
6(36)  4.20056e-01  6.35928e-02
(235)  6.53006e-01  4.16605e-02
(246)  3.78616e-01  7.72410e-02
(234)  -6.97553e-02  8.67136e-02
