#correlator  value  value_err
4(24)  8.52149e-01  4.92724e-02
6(23)  7.35189e-02  1.56704e-01
6(26)  2.13603e-01  1.30177e-01
6(36)  2.86901e-01  7.97900e-02
(235)  6.44679e-01  5.13084e-02
(246)  4.48765e-01  6.35619e-02
(234)  -1.21099e-01  9.70347e-02
