# type  value  stat. err
v4_L  1.1782485405e-02  2.2021596749e-03
v4(Psi2)  1.2930549405e-02  1.5206786989e-03
rho_422  7.3915882302e-01  9.6064689591e-02
chi_422  8.3411529073e-01  5.6946381286e-02
v5_L  5.3719123303e-03  1.0556329601e-03
v5(Psi23)  6.1274870100e-03  6.4892851720e-04
rho_523  7.5194622926e-01  9.1857441523e-02
chi_523  1.9645980236e+00  1.6483732088e-01
v6_L  2.9977609132e-05  4.3939043504e-06
v6(Psi2)  1.6060884461e-03  5.5893855414e-04
v6(Psi3)  1.0032754307e-03  4.2486323573e-04
rho_6222  3.1664470097e-01  1.1386985640e-01
rho_633  1.9779847711e-01  8.5658776622e-02
chi_6222  6.9407801480e-01  2.2327988678e-01
chi_633  6.5255636478e-01  2.6447670479e-01
