# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  2.6542252346e-03  8.5667390343e-04  -4.9630779395e-11  6.4075034719e-11
2  2.4668488771e-02  2.7229087970e-03  -3.7031404080e-07  1.6350111573e-07
3  6.2007981491e-03  1.9156494481e-03  -1.4783946320e-09  1.8269169825e-09
