# type  value  stat. err
v4_L  2.9119725732e-03  4.6896374108e-04
v4(Psi2)  7.0854879947e-04  4.9759296816e-04
rho_422  2.3642439759e-01  1.6962699423e-01
chi_422  6.4058400981e-01  4.4643770367e-01
v5_L  nan  nan
v5(Psi23)  7.1524229459e-04  2.2723506559e-04
rho_523  nan  nan
chi_523  2.2174643950e+00  6.5437880792e-01
v6_L  5.0111894334e-06  7.3155772014e-07
v6(Psi2)  1.3025995267e-04  2.1329057992e-04
v6(Psi3)  -2.6272260752e-04  2.2379004734e-04
rho_6222  1.0380805373e+00  2.3455531811e+01
rho_633  -2.0937150672e+00  4.7217007009e+01
chi_6222  2.9421494127e+00  4.8070957024e+00
chi_633  -2.0708884162e+00  1.7380477976e+00
