# type  value  stat. err
v4_L  4.8904102628e-03  6.1838579260e-04
v4(Psi2)  7.9906760502e-04  7.6307119956e-04
rho_422  1.6125637829e-01  1.5521587598e-01
chi_422  3.5207329557e-01  3.3459311209e-01
v5_L  1.0260782731e-03  8.3304915274e-04
v5(Psi23)  8.8347668623e-04  4.3463553355e-04
rho_523  6.5248466376e-01  4.2060186315e-01
chi_523  1.2395164060e+00  5.8815316284e-01
v6_L  1.0448351707e-05  1.3456795867e-06
v6(Psi2)  2.6357163499e-05  4.7855306711e-04
v6(Psi3)  -1.5433341727e-05  5.7281203852e-04
rho_6222  3.6830351612e-02  6.7038553197e-01
rho_633  -2.1565879134e-02  8.0090321274e-01
chi_6222  1.9915847833e-01  3.6159329875e+00
chi_633  -4.8163723090e-02  1.7875892744e+00
