# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  8.2446451960e-01  1.9744637522e-01  4.3437025831e-01  3.2079672536e-01
2  8.2383980417e-01  4.9478211355e-02  4.3739208382e-01  6.6465388374e-02
3  6.2992039049e-01  2.0143434821e-01  6.5655207658e-01  1.9863939629e-01
