# type  value  stat. err
v4_L  3.5678361118e-03  5.2895083250e-04
v4(Psi2)  8.6414541814e-04  5.8988710826e-04
rho_422  2.3539816785e-01  1.6379333773e-01
chi_422  5.9724336416e-01  4.0423442088e-01
v5_L  1.7712691870e-04  2.9049215614e-03
v5(Psi23)  7.3859792258e-04  2.9462616923e-04
rho_523  9.7242809414e-01  8.7644212653e-01
chi_523  1.7325596070e+00  6.6088120942e-01
v6_L  5.2111675206e-06  7.5783793738e-07
v6(Psi2)  9.6639401999e-05  2.2007183161e-04
v6(Psi3)  -1.8524288877e-04  2.4425874979e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  1.4502439603e+00  3.2985603710e+00
chi_633  -1.0904845843e+00  1.4289943012e+00
