# type  value  stat. err
v4_L  4.7845934801e-03  3.0395993637e-04
v4(Psi2)  -5.0129971384e-04  3.8884060444e-04
rho_422  -1.0420334492e-01  8.1086935203e-02
chi_422  -1.6221830631e+00  1.2439673826e+00
v5_L  1.7083158517e-03  3.3008838765e-04
v5(Psi23)  2.0685240506e-04  2.3995623776e-04
rho_523  1.2020755583e-01  1.4129717117e-01
chi_523  3.0037094868e+00  3.4720297091e+00
v6_L  6.3885733220e-06  7.2123666811e-07
v6(Psi2)  -2.8006779461e-05  2.3348385456e-04
v6(Psi3)  -2.9726383785e-04  1.5281981971e-04
rho_6222  -3.9625026487e-02  3.3128951485e-01
rho_633  -4.2057986227e-01  3.4264429887e-01
chi_6222  -3.5802516745e+00  2.9840204187e+01
chi_633  -5.1300960186e+00  2.5625109036e+00
