# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  6.2103190504e-01  1.4061562910e-01  6.6570921584e-01  1.3681731421e-01
2  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
3  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00
