# type  value  stat. err
v4_L  5.9649239791e-03  3.5905543221e-04
v4(Psi2)  -4.9339349341e-04  5.1064304115e-04
rho_422  -8.2434282763e-02  8.5456531294e-02
chi_422  -1.3926648632e+00  1.4330374140e+00
v5_L  2.3161668399e-03  3.4834812770e-04
v5(Psi23)  2.8686194443e-04  3.0229404567e-04
rho_523  1.2291290837e-01  1.3078387084e-01
chi_523  2.8966442223e+00  3.0409387430e+00
v6_L  7.8316724383e-06  8.6066969719e-07
v6(Psi2)  -7.1474754933e-05  3.0334783280e-04
v6(Psi3)  -2.7170725628e-04  1.5147370406e-04
rho_6222  -8.9854395979e-02  3.8589884781e-01
rho_633  -3.4157642680e-01  2.9438106638e-01
chi_6222  -7.5964505941e+00  3.2215221317e+01
chi_633  -2.9954554294e+00  1.6270363983e+00
