# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  6.3791320315e-06  4.6193532114e-06
2  7.6134152745e-02  7.3250976558e-03  -3.3598359779e-05  1.2930400225e-05
3  0.0000000000e+00  0.0000000000e+00  3.5018894163e-07  1.2406581898e-07
