# type  value  stat. err
v4_L  1.0648600372e-02  2.5374427586e-03
v4(Psi2)  1.2097620141e-02  1.4973456108e-03
rho_422  7.5063059095e-01  1.0949271087e-01
chi_422  9.9064394653e-01  8.6339186595e-02
v5_L  5.6121029107e-03  1.6388098535e-03
v5(Psi23)  5.0703364663e-03  1.0596105445e-03
rho_523  6.7038384393e-01  1.6516819840e-01
chi_523  1.9877282368e+00  3.6309224538e-01
v6_L  2.5982257848e-05  7.3471036533e-06
v6(Psi2)  2.7836481993e-03  8.7321704742e-04
v6(Psi3)  9.1302783573e-05  4.5682009780e-04
rho_6222  5.4030563424e-01  1.8225296159e-01
rho_633  1.7721854507e-02  8.8695929476e-02
chi_6222  1.7003463332e+00  4.9545129771e-01
chi_633  6.8792782802e-02  3.4408688850e-01
