# type  value  stat. err
v4_L  1.2854777007e-02  1.2362893174e-03
v4(Psi2)  8.6787486624e-03  1.0999838883e-03
rho_422  5.5955143606e-01  7.6831043376e-02
chi_422  6.7062795681e-01  7.0695570114e-02
v5_L  6.0126362215e-03  6.7366179440e-04
v5(Psi23)  4.4936392611e-03  5.4111419133e-04
rho_523  5.9864877889e-01  7.9882954909e-02
chi_523  1.4386662028e+00  1.2701399541e-01
v6_L  1.6787748977e-05  1.7694785842e-06
v6(Psi2)  6.9246373346e-04  3.8900440199e-04
v6(Psi3)  5.4141747461e-04  2.9122577078e-04
rho_6222  1.8296642610e-01  1.0347194010e-01
rho_633  1.4305618558e-01  7.7510144479e-02
chi_6222  3.4640574276e-01  1.9102951264e-01
chi_633  3.7589598090e-01  1.9886645169e-01
