# type  value  stat. err
v4_L  1.9472517176e-02  1.8262183456e-03
v4(Psi2)  1.2475001202e-02  1.7201481949e-03
rho_422  5.3943986398e-01  7.9691906517e-02
chi_422  5.7716992154e-01  6.7197829946e-02
v5_L  9.3798310579e-03  1.0566065144e-03
v5(Psi23)  6.9763257243e-03  8.5957459508e-04
rho_523  5.9678977464e-01  8.1206906971e-02
chi_523  1.2081010600e+00  1.0670312937e-01
v6_L  3.8776151161e-05  4.3119336197e-06
v6(Psi2)  1.1518897422e-03  6.6425358868e-04
v6(Psi3)  9.0540076443e-04  4.4306574666e-04
rho_6222  1.9055257500e-01  1.1057696266e-01
rho_633  1.4977687599e-01  7.3934905749e-02
chi_6222  2.6838807933e-01  1.5181177358e-01
chi_633  3.0724936889e-01  1.4729640186e-01
