# type  value  stat. err
v4_L  1.0663056148e-02  1.0366943659e-03
v4(Psi2)  7.2780998583e-03  9.0286110723e-04
rho_422  5.6375100982e-01  7.6123812844e-02
chi_422  7.4940187416e-01  7.7155802297e-02
v5_L  4.9432103870e-03  5.6378865526e-04
v5(Psi23)  3.6865936519e-03  4.4993188879e-04
rho_523  5.9783760061e-01  8.1014608983e-02
chi_523  1.6228636033e+00  1.4816485958e-01
v6_L  1.1759580081e-05  1.1746493178e-06
v6(Psi2)  5.3770031100e-04  3.0901058764e-04
v6(Psi3)  4.6655430501e-04  2.4378942940e-04
rho_6222  1.7408211089e-01  1.0065511506e-01
rho_633  1.5104837509e-01  7.9511223272e-02
chi_6222  4.1368731697e-01  2.3370721843e-01
chi_633  4.6143229399e-01  2.3701472047e-01
