# type  value  stat. err
v4_L  3.7698705550e-03  7.1864774401e-04
v4(Psi2)  5.4346400861e-03  3.2792904818e-04
rho_422  8.2166629799e-01  6.2665479587e-02
chi_422  7.9674357479e-01  3.4411116488e-02
v5_L  9.1049751193e-04  3.6646961056e-04
v5(Psi23)  1.2692696454e-03  1.4686521671e-04
rho_523  8.1255810880e-01  1.3165384378e-01
chi_523  1.0362977058e+00  1.0949659348e-01
v6_L  7.0254893989e-06  4.9774971013e-07
v6(Psi2)  1.3978872663e-04  1.4273540641e-04
v6(Psi3)  4.9322645740e-05  1.6852637733e-04
rho_6222  1.1516117804e-01  1.1907704951e-01
rho_633  4.0633133478e-02  1.3899375298e-01
chi_6222  2.0719512537e-01  2.1118036372e-01
chi_633  1.1577856832e-01  3.9545074810e-01
