# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  1.9574006728e-03  1.8791046459e-01  9.9440945796e-03  9.5463307964e-01
2  9.0482417519e-01  2.0368152878e-02  3.1570742452e-01  3.5869594353e-02
3  1.8260513842e-01  1.7151039151e+00  4.9661112867e-01  4.3580643947e+00
