# type  value  stat. err
v4_L  1.0999308744e-02  1.2235640875e-03
v4(Psi2)  8.5531275954e-03  1.0933416029e-03
rho_422  6.1385607865e-01  8.4225411673e-02
chi_422  1.1149398240e+00  1.2299575622e-01
v5_L  3.1489116482e-03  1.0426433057e-03
v5(Psi23)  4.4525256464e-03  4.6511546751e-04
rho_523  8.1645330896e-01  1.1029731393e-01
chi_523  2.3038508426e+00  1.8064702436e-01
v6_L  1.1990466101e-05  1.4738683786e-06
v6(Psi2)  7.6389996091e-04  3.6584597396e-04
v6(Psi3)  5.4347287446e-04  2.7257140457e-04
rho_6222  3.0063256466e-01  1.4744221678e-01
rho_633  2.1388356124e-01  1.0962590012e-01
chi_6222  9.5232294483e-01  4.4361662160e-01
chi_633  7.0937305117e-01  3.4553554770e-01
