# type  value  stat. err
v4_L  1.8974285639e-02  2.0207039248e-03
v4(Psi2)  1.4116202901e-02  1.8930947807e-03
rho_422  5.9689658371e-01  8.5257107191e-02
chi_422  8.7473529697e-01  1.0234009040e-01
v5_L  5.5542526722e-03  1.5510986768e-03
v5(Psi23)  7.6075558885e-03  7.5653766587e-04
rho_523  8.0764973462e-01  9.9278596582e-02
chi_523  1.6888123528e+00  1.1902943105e-01
v6_L  2.8441203631e-05  4.0637296876e-06
v6(Psi2)  1.4812909147e-03  5.6604718302e-04
v6(Psi3)  1.1535242364e-03  3.9697377686e-04
rho_6222  3.2735582342e-01  1.2873576393e-01
rho_633  2.5492148267e-01  9.0868399984e-02
chi_6222  6.0458720778e-01  2.2079085224e-01
chi_633  5.7769935330e-01  1.8666724399e-01
