#correlator  value  value_err
4(24)  -1.97651e-01  6.99809e-02
6(23)  -3.41799e-02  1.26211e-01
6(26)  -2.89278e-01  1.13137e-01
6(36)  4.70461e-02  8.76908e-02
(235)  2.73197e-02  4.58773e-02
(246)  5.13676e-02  4.87230e-02
(234)  5.27645e-02  6.13954e-02
