# type  value  stat. err
v4_L  3.1664410499e-03  2.7346583950e-04
v4(Psi2)  -4.7057143574e-04  2.0154599371e-04
rho_422  -1.4699769646e-01  6.4158312021e-02
chi_422  -5.3105288424e-01  2.2356807190e-01
v5_L  1.5149943386e-03  2.4883256989e-04
v5(Psi23)  1.3910528446e-04  2.0367194822e-04
rho_523  9.1434392300e-02  1.3469539948e-01
chi_523  1.1861000820e+00  1.7333689683e+00
v6_L  9.7283671814e-06  8.1180505389e-07
v6(Psi2)  -3.9187818070e-04  2.1289833336e-04
v6(Psi3)  4.8789431007e-05  1.9527996792e-04
rho_6222  -4.0321957316e-01  2.6598100509e-01
rho_633  5.0201451660e-02  2.0180752477e-01
chi_6222  -1.1275601576e+01  5.9146437610e+00
chi_633  9.0844656255e-01  3.6345195371e+00
