# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -2.0525631621e-02  1.2900398727e+00  -1.9890660135e-02  4.5248808541e-01
SC_42  -2.0529931235e-02  1.2899873283e+00  -1.9893814079e-02  4.5247166471e-01
