# type  value  stat. err
v4_L  4.7292522648e-03  4.4544096923e-04
v4(Psi2)  1.2488358124e-03  4.4486621910e-04
rho_422  2.5531455774e-01  9.3498633869e-02
chi_422  1.6132746611e-01  5.6391863053e-02
v5_L  3.0380117055e-03  6.3693216372e-04
v5(Psi23)  -2.9788310877e-03  3.9648847068e-04
rho_523  -7.0011793694e-01  1.1044326140e-01
chi_523  -3.6128823858e+00  3.8753848763e-01
v6_L  1.8664750444e-05  2.2529414861e-06
v6(Psi2)  -1.1742086232e-03  3.7439129741e-04
v6(Psi3)  -4.1887319479e-04  2.8172941644e-04
rho_6222  -3.8321606175e-01  1.2959166444e-01
rho_633  -1.3670393225e-01  9.3226788903e-02
chi_6222  -1.4147343528e+00  4.2777856454e-01
chi_633  -2.5382752989e+00  1.6801910966e+00
