# type  value  stat. err
v4_L  2.9621712919e-03  3.5413584215e-04
v4(Psi2)  1.2934856692e-03  3.0138794477e-04
rho_422  4.0017882304e-01  1.0042842818e-01
chi_422  2.5677717226e-01  5.7259107253e-02
v5_L  2.3117432963e-03  4.1525162512e-04
v5(Psi23)  -1.6194165876e-03  2.9076371737e-04
rho_523  -5.7374676135e-01  1.1933887122e-01
chi_523  -3.0930110516e+00  5.0007584484e-01
v6_L  1.0014379304e-05  1.2387110249e-06
v6(Psi2)  -6.0591731912e-04  2.8869426476e-04
v6(Psi3)  -2.0161663740e-04  2.4235580522e-04
rho_6222  -2.9867373502e-01  1.4898239741e-01
rho_633  -9.9382526681e-02  1.2036190360e-01
chi_6222  -1.3923570977e+00  6.4879190652e-01
chi_633  -1.9982760446e+00  2.3911406885e+00
