# type  value  stat. err
v4_L  3.8863147433e-03  2.6823941612e-04
v4(Psi2)  -5.1713779656e-04  3.2581964655e-04
rho_422  -1.3190370741e-01  8.3572748133e-02
chi_422  -1.4356890056e-01  8.9755442944e-02
v5_L  2.1270934827e-03  3.5310038973e-04
v5(Psi23)  -1.4043377047e-03  3.0433179037e-04
rho_523  -5.5096682314e-01  1.3038297802e-01
chi_523  -4.8100796976e+00  9.7541478885e-01
v6_L  9.8096368907e-06  8.7142677581e-07
v6(Psi2)  -5.1736131223e-04  1.9084090309e-04
v6(Psi3)  -2.2134133545e-04  2.6300247439e-04
rho_6222  -2.5726143822e-01  9.8620911159e-02
rho_633  -1.1006348745e-01  1.3128310990e-01
chi_6222  -1.8337604184e+00  6.4600138627e-01
chi_633  -4.4444836837e+00  5.2410479632e+00
