# type  value  stat. err
v4_L  1.1623244960e-02  2.3399120802e-03
v4(Psi2)  1.2467853695e-02  1.5435542634e-03
rho_422  7.3144782148e-01  1.0266932069e-01
chi_422  8.5967580853e-01  6.5428799251e-02
v5_L  5.3914063591e-03  1.4701526393e-03
v5(Psi23)  5.7192830054e-03  8.1967517496e-04
rho_523  7.2765674745e-01  1.2861837660e-01
chi_523  1.6875981618e+00  2.0663609286e-01
v6_L  3.1564394305e-05  6.2688878891e-06
v6(Psi2)  1.6419913323e-03  8.8620900191e-04
v6(Psi3)  1.1163621833e-03  4.8917398207e-04
rho_6222  3.1496969613e-01  1.7291496892e-01
rho_633  2.1414257842e-01  9.6269543393e-02
chi_6222  7.2748488217e-01  3.8082444889e-01
chi_633  5.3628368189e-01  2.2680790258e-01
