# type  value  stat. err
v4_L  1.1573661229e-02  4.6639044781e-03
v4(Psi2)  1.5041365139e-02  2.5152017744e-03
rho_422  7.9253790446e-01  1.5729094123e-01
chi_422  1.3697093010e+00  1.6220158396e-01
v5_L  6.4655957043e-03  1.3669193398e-03
v5(Psi23)  4.5287067850e-03  9.7667210197e-04
rho_523  5.7369951003e-01  1.4237469095e-01
chi_523  2.5056023719e+00  4.1099314270e-01
v6_L  3.6817873650e-05  2.3001765958e-05
v6(Psi2)  2.9236047232e-03  1.2042062862e-03
v6(Psi3)  1.4764242938e-03  2.1920619385e-03
rho_6222  4.3605757469e-01  1.9305083411e-01
rho_633  2.2020965818e-01  3.2889545600e-01
chi_6222  2.1544118952e+00  8.1637117789e-01
chi_633  1.0826785495e+00  1.5403222385e+00
