# type  value  stat. err
v4_L  7.6584492514e-03  2.9919866228e-03
v4(Psi2)  9.7033131311e-03  1.6219120234e-03
rho_422  7.8496385102e-01  1.5663541129e-01
chi_422  1.5935592283e+00  1.8731958660e-01
v5_L  4.0580554430e-03  8.3823320915e-04
v5(Psi23)  2.8706205400e-03  5.7668045705e-04
rho_523  5.7750342433e-01  1.3521629877e-01
chi_523  3.1177598894e+00  4.5804308980e-01
v6_L  2.1722346665e-05  1.0723083283e-05
v6(Psi2)  1.7480597658e-03  7.1389362689e-04
v6(Psi3)  9.1488952071e-04  1.4513647628e-03
rho_6222  4.0662076841e-01  1.7677398715e-01
rho_633  2.1281485176e-01  3.3909251680e-01
chi_6222  3.0658285048e+00  1.1448604944e+00
chi_633  1.4401416935e+00  2.2014049194e+00
