# type  value  stat. err
v4_L  8.1500377584e-03  8.5287346980e-04
v4(Psi2)  3.3942525392e-03  1.1178620144e-03
rho_422  3.8446129421e-01  1.2983624608e-01
chi_422  8.0852793293e-01  2.4492233160e-01
v5_L  3.3729487289e-03  9.0690609477e-04
v5(Psi23)  2.8680052450e-03  6.1212786340e-04
rho_523  6.4777938225e-01  1.6114558353e-01
chi_523  2.1654851924e+00  3.6247096456e-01
v6_L  1.5670767536e-05  3.1362356641e-06
v6(Psi2)  6.2510784812e-04  4.6619802374e-04
v6(Psi3)  1.4167340582e-03  4.9998567170e-04
rho_6222  1.7712860722e-01  1.3354105035e-01
rho_633  4.0144133734e-01  1.4844974217e-01
chi_6222  1.7544732306e+00  1.2649804337e+00
chi_633  1.5184309389e+00  4.6339759173e-01
