# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -4.2555347640e-03  2.0053510718e-03  -4.1474695379e-03  1.9080289248e-03
SC_42  -4.2625614835e-03  2.0085414009e-03  -4.1542696321e-03  1.9110212679e-03
